\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
  70.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  71.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  72.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0312 \\
  73.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  74.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  75.0 &             0.0312 &                       0.0359 &                          0.0328 &           0.0328 \\
  76.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  77.0 &             0.0328 &                       0.0344 &                          0.0328 &           0.0328 \\
  78.0 &             0.0312 &                       0.0328 &                          0.0328 &           0.0328 \\
  79.0 &             0.0312 &                       0.0344 &                          0.0328 &           0.0328 \\
  80.0 &             0.0344 &                       0.0312 &                          0.0328 &           0.0328 \\
  81.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  82.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  83.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  84.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
  85.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0344 \\
  86.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  87.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  88.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  89.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0328 \\
  90.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  91.0 &             0.0344 &                       0.0328 &                          0.0328 &           0.0328 \\
  92.0 &             0.0328 &                       0.0344 &                          0.0344 &           0.0328 \\
  93.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  94.0 &             0.0328 &                       0.0328 &                          0.0359 &           0.0328 \\
  95.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
  96.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  97.0 &             0.0312 &                       0.0328 &                          0.0375 &           0.0328 \\
  98.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0328 \\
  99.0 &             0.0328 &                       0.0328 &                          0.0328 &           0.0344 \\
 100.0 &             0.0328 &                       0.0328 &                          0.0344 &           0.0359 \\
\bottomrule
\end{tabular}
