\begin{tabular}{|c|c|c|c|c|}
\toprule
 Alpha &  Metoda intuicyjna &  Ulepszona metoda intuicyjna &  Metoda najmniejszych wariancji &  Metoda Karnin'a \\
  39 &             0.1719 &                       0.1688 &                          0.1766 &           0.1766 \\
  40 &             0.1688 &                       0.1734 &                          0.1766 &           0.1703 \\
  41 &             0.1688 &                       0.1688 &                          0.1719 &           0.1719 \\
  42 &             0.1734 &                       0.1703 &                          0.1719 &           0.1734 \\
  43 &             0.1750 &                       0.1672 &                          0.1734 &           0.1766 \\
  44 &             0.1734 &                       0.1703 &                          0.1672 &           0.1672 \\
  45 &             0.1719 &                       0.1656 &                          0.1719 &           0.1688 \\
  46 &             0.1703 &                       0.1609 &                          0.1688 &           0.1672 \\
  47 &             0.1703 &                       0.1656 &                          0.1750 &           0.1672 \\
  48 &             0.1688 &                       0.1656 &                          0.1688 &           0.1656 \\
  49 &             0.1688 &                       0.1734 &                          0.1656 &           0.1688 \\
  50 &             0.1656 &                       0.1672 &                          0.1703 &           0.1641 \\
  51 &             0.1734 &                       0.1703 &                          0.1688 &           0.1703 \\
  52 &             0.1672 &                       0.1641 &                          0.1719 &           0.1656 \\
  53 &             0.1766 &                       0.1688 &                          0.1719 &           0.1719 \\
  54 &             0.1672 &                       0.1641 &                          0.1672 &           0.1688 \\
  55 &             0.1688 &                       0.1703 &                          0.1672 &           0.1703 \\
  56 &             0.1672 &                       0.1703 &                          0.1688 &           0.1656 \\
  57 &             0.1656 &                       0.1672 &                          0.1656 &           0.1656 \\
  58 &             0.1656 &                       0.1641 &                          0.1734 &           0.1688 \\
  59 &             0.1656 &                       0.1672 &                          0.1656 &           0.1703 \\
  60 &             0.1656 &                       0.1641 &                          0.1688 &           0.1672 \\
  61 &             0.1688 &                       0.1734 &                          0.1641 &           0.1641 \\
  62 &             0.1688 &                       0.1641 &                          0.1750 &           0.1641 \\
  63 &             0.1672 &                       0.1703 &                          0.1672 &           0.1672 \\
  64 &             0.1656 &                       0.1688 &                          0.1688 &           0.1688 \\
  65 &             0.1688 &                       0.1656 &                          0.1656 &           0.1719 \\
  66 &             0.1656 &                       0.1719 &                          0.1656 &           0.1688 \\
  67 &             0.1672 &                       0.1656 &                          0.1656 &           0.1688 \\
  68 &             0.1688 &                       0.1625 &                          0.1656 &           0.1703 \\
  69 &             0.1656 &                       0.1719 &                          0.1656 &           0.1656 \\
  70 &             0.1734 &                       0.1656 &                          0.1734 &           0.1703 \\
  71 &             0.1703 &                       0.1703 &                          0.1656 &           0.1672 \\
  72 &             0.1656 &                       0.1641 &                          0.1641 &           0.1641 \\
  73 &             0.1656 &                       0.1656 &                          0.1703 &           0.1703 \\
  74 &             0.1703 &                       0.1641 &                          0.1672 &           0.1641 \\
  75 &             0.1672 &                       0.1656 &                          0.1672 &           0.1641 \\
  76 &             0.1656 &                       0.1672 &                          0.1688 &           0.1688 \\
  77 &             0.1688 &                       0.1656 &                          0.1688 &           0.1734 \\
  78 &             0.1656 &                       0.1656 &                          0.1672 &           0.1750 \\
  79 &             0.1719 &                       0.1734 &                          0.1656 &           0.1734 \\
  80 &             0.1688 &                       0.1672 &                          0.1672 &           0.1719 \\
  81 &             0.1672 &                       0.1672 &                          0.1688 &           0.1688 \\
  82 &             0.1656 &                       0.1672 &                          0.1688 &           0.1672 \\
  83 &             0.1672 &                       0.1703 &                          0.1656 &           0.1688 \\
  84 &             0.1703 &                       0.1734 &                          0.1688 &           0.1656 \\
  85 &             0.1703 &                       0.1656 &                          0.1672 &           0.1719 \\
  86 &             0.1688 &                       0.1641 &                          0.1688 &           0.1641 \\
  87 &             0.1688 &                       0.1672 &                          0.1734 &           0.1641 \\
  88 &             0.1719 &                       0.1672 &                          0.1703 &           0.1719 \\
  89 &             0.1656 &                       0.1719 &                          0.1688 &           0.1672 \\
  90 &             0.1672 &                       0.1625 &                          0.1672 &           0.1672 \\
  91 &             0.1625 &                       0.1703 &                          0.1719 &           0.1734 \\
  92 &             0.1641 &                       0.1766 &                          0.1703 &           0.1672 \\
  93 &             0.1703 &                       0.1672 &                          0.1672 &           0.1672 \\
  94 &             0.1703 &                       0.1656 &                          0.1719 &           0.1688 \\
  95 &             0.1656 &                       0.1641 &                          0.1750 &           0.1688 \\
  96 &             0.1641 &                       0.1672 &                          0.1656 &           0.1688 \\
  97 &             0.1688 &                       0.1703 &                          0.1703 &           0.1641 \\
  98 &             0.1656 &                       0.1641 &                          0.1719 &           0.1703 \\
  99 &             0.1656 &                       0.1641 &                          0.1688 &           0.1656 \\
 100 &             0.1641 &                       0.1656 &                          0.1688 &           0.1656 \\
\bottomrule
\end{tabular}
